date,value
2010-01-01,0.055810397553516786
2010-01-02,0.047439024390243896
2010-01-03,0.02468277945619333
2010-01-04,0.03695266272189341
2010-01-05,0.02991354466858782
2010-01-06,0.013495702005730636
2010-01-07,0.036011560693641614
2010-01-08,0.18801136363636362
2010-01-09,0.007811550151975681
2010-01-10,0.0018787878787878795
2010-01-11,0.0688955223880597
2010-01-12,0.03795321637426893
2010-01-13,0.0008695652173913043
2010-01-14,0.000997067448680352
2010-01-15,0.0023988439306358387
2010-01-16,0.0009036144578313254
2010-01-17,0.0013595166163141994
2010-01-18,0.0016224188790560474
2010-01-19,0.012434782608695644
2010-01-20,0.004219653179190753
2010-01-21,8.72093023255814e-05
2010-01-22,2.9411764705882354e-05
2010-01-23,0.001743119266055046
2010-01-24,0.10978978978978984
2010-01-25,0.1429166666666667
2010-01-26,0.041863905325443714
2010-01-27,0.026012084592144956
2010-01-28,0.049374999999999884
2010-01-29,0.019970059880239508
2010-01-30,0.0023219814241486076
2010-01-31,0.006141975308641978
2010-02-01,0.011261261261261254
2010-02-02,0.023775811209439508
2010-02-03,0.06514792899408285
2010-02-04,0.004647058823529413
2010-02-05,0.0010204081632653062
2010-02-06,0.00493975903614458
2010-02-07,0.0010670731707317074
2010-02-08,0.004760479041916168
2010-02-09,0.05284057971014491
2010-02-10,0.3002352941176469
2010-02-11,0.016746987951807197
2010-02-12,0.0035608308605341254
2010-02-13,0.005884146341463418
2010-02-14,0.004169278996865205
2010-02-15,0.0416149068322981
2010-02-16,0.08888888888888886
2010-02-17,0.04038922155688613
2010-02-18,0.0032326283987915414
2010-02-19,0.0
2010-02-20,0.0
2010-02-21,0.011211180124223601
2010-02-22,0.21198776758409793
2010-02-23,0.1045945945945946
2010-02-24,0.07033033033033038
2010-02-25,0.060512048192771103
2010-02-26,0.04280966767371597
2010-02-27,0.11971246006389778
2010-02-28,0.014842767295597475
2010-03-01,0.005552238805970151
2010-03-02,0.006267806267806266
2010-03-03,0.012270114942528734
2010-03-04,0.0
2010-03-05,0.0
2010-03-06,2.9850746268656717e-05
2010-03-07,0.0
2010-03-08,0.0
2010-03-09,0.0002542372881355932
2010-03-10,0.007718309859154932
2010-03-11,0.06260989010989008
2010-03-12,0.37981029810298084
2010-03-13,0.0795402298850575
2010-03-14,0.11629737609329456
2010-03-15,0.01193181818181817
2010-03-16,0.00033057851239669424
2010-03-17,0.0
2010-03-18,2.7624309392265193e-05
2010-03-19,0.0009695290858725763
2010-03-20,0.015254237288135589
2010-03-21,0.030256410256410238
2010-03-22,0.004873239436619719
2010-03-23,0.024081081081081087
2010-03-24,0.00043956043956043956
2010-03-25,0.014604904632152584
2010-03-26,0.018666666666666665
2010-03-27,0.0
2010-03-28,0.02414772727272726
2010-03-29,0.09168937329700275
2010-03-30,8.152173913043478e-05
2010-03-31,0.00013550135501355014
2010-04-01,0.0
2010-04-02,0.0
2010-04-03,0.0335774647887324
2010-04-04,0.14408219178082202
2010-04-05,0.11365333333333338
2010-04-06,0.42131782945736435
2010-04-07,0.4722222222222217
2010-04-08,0.4242635658914733
2010-04-09,0.048328840970350354
2010-04-10,0.002359550561797754
2010-04-11,0.010934065934065927
2010-04-12,0.0031436314363143636
2010-04-13,0.06219072164948456
2010-04-14,0.014519480519480505
2010-04-15,0.014308093994778058
2010-04-16,0.01891752577319586
2010-04-17,0.01330623306233062
2010-04-18,0.0021195652173913054
2010-04-19,0.00040106951871657755
2010-04-20,2.6109660574412533e-05
2010-04-21,0.0011578947368421054
2010-04-22,0.0020519480519480522
2010-04-23,0.0003703703703703704
2010-04-24,0.04703999999999996
2010-04-25,0.31693931398416875
2010-04-26,0.1941494845360825
2010-04-27,0.003402061855670104
2010-04-28,2.577319587628866e-05
2010-04-29,0.0011286089238845148
2010-04-30,0.0370179948586118
2010-05-01,0.25358247422680413
2010-05-02,0.33193798449612444
2010-05-03,0.16843989769820952
2010-05-04,0.022280701754385932
2010-05-05,0.08971867007672639
2010-05-06,0.04171284634760699
2010-05-07,0.136624685138539
2010-05-08,0.6881658291457283
2010-05-09,0.04049479166666663
2010-05-10,0.005445292620865139
2010-05-11,0.21556097560975604
2010-05-12,0.40670673076923103
2010-05-13,0.25892944038929433
2010-05-14,0.47062801932367093
2010-05-15,0.007345360824742268
2010-05-16,5.1150895140664964e-05
2010-05-17,0.013449999999999997
2010-05-18,0.08791044776119403
2010-05-19,0.005025510204081636
2010-05-20,0.0002313624678663239
2010-05-21,0.12215736040609143
2010-05-22,0.39685279187817263
2010-05-23,0.026111111111111085
2010-05-24,0.0003141361256544503
2010-05-25,0.0008291457286432161
2010-05-26,0.009673366834170855
2010-05-27,0.01616336633663366
2010-05-28,0.0051025641025641034
2010-05-29,0.0
2010-05-30,0.0008288770053475937
2010-05-31,0.1669090909090909
2010-06-01,0.3859903381642512
2010-06-02,0.17607748184019378
2010-06-03,0.3286570743405275
2010-06-04,0.04866004962779155
2010-06-05,0.26912280701754376
2010-06-06,0.9092156862745103
2010-06-07,0.06034825870646771
2010-06-08,0.047985257985258
2010-06-09,0.43160377358490565
2010-06-10,0.053447432762836165
2010-06-11,0.05791666666666664
2010-06-12,0.40119402985074637
2010-06-13,0.014601542416452416
2010-06-14,0.038611111111111034
2010-06-15,0.057995049504950456
2010-06-16,0.6494471153846153
2010-06-17,0.0100253164556962
2010-06-18,0.04559796437659032
2010-06-19,0.1650122850122851
2010-06-20,0.0023333333333333335
2010-06-21,0.018354755784061694
2010-06-22,0.5860756501182031
2010-06-23,0.13095959595959591
2010-06-24,0.45154411764705915
